id_point;nom;type;altitude;latitude;longitude;état;nombre de place
3941;Refuge de Chaligne;refuge gardé;1934;45.77852;7.25158;;36
5498;Rifugio Magià;refuge gardé;2007;45.8403;7.5079;;60
3619;Mittleberghütte;refuge gardé;2393;46.3855;8.2779;;22
2338;Cabane du Vélan;refuge gardé;2642;45.9169;7.2454;;60
5499;Ostello Lavesé;refuge gardé;1533;45.7678724699014;7.58089792754617;;20
2349;Cabane de Bertol;refuge gardé;3311;46.00609;7.52771;;80
2411;Rifugio G.B. Ferraro;refuge gardé;2066;45.8661;7.73985;;26
6343;Rifugio Carestia;refuge gardé;2201;45.80334;7.8959;;30
2339;Refuge Amianthé (Chiarella);refuge gardé;2979;45.9102;7.3047;;42
1688;Hospice du Grand-St-Bernard;refuge gardé;2469;45.86889;7.17057;;80
2458;Cabane Marcel Brunet;refuge gardé;2103;46.03036;7.27423;;65
2267;Domhütte;refuge gardé;2940;46.10278;7.81769;;75
3839;Refuge Mont Fallère;refuge gardé;2385;45.76192;7.18134;;60
2210;Rothornhütte;refuge gardé;3198;46.04857;7.69737;;84
1511;Cabane de Valsorey;refuge gardé;3030;45.9304;7.27176;;60
1705;Cabane Topali;refuge gardé;2675;46.15694;7.76188;;44
1556;Cabane de Chanrion;refuge gardé;2462;45.93917;7.38095;;86
1489;Refuge Margherita / Signalkuppe;refuge gardé;4556;45.92696;7.87689;;75
2395;Refuge de Prarayer;refuge gardé;2005;45.92101;7.53273;;50
1950;Cabane de Tracuit;refuge gardé;3256;46.13025;7.67955;;116
2329;Refuge Mezzalama;refuge gardé;3004;45.91371;7.75954;;40
2346;Cabane de la Dent Blanche (Rossier);refuge gardé;3507;46.0202;7.60084;;50
2594;Refuge Zamboni-Zappa;refuge gardé;2065;45.95315;7.91804;;72
2898;Monte Leone;refuge gardé;2848;46.26084;8.08044;;34
2066;Refuge Giovanni Gnifetti;refuge gardé;3647;45.89982;7.84999;;330
1569;Refuge Città di Mantova (Guide di Gressoney);refuge gardé;3470;45.89532;7.84793;;91
1493;Mischabelhütte;refuge gardé;3330;46.10937;7.88887;;130
3589;Bortelhütten;refuge gardé;2113;46.29392;8.09333;;35
2888;Binntalhütte;refuge gardé;2275;46.3747;8.29178;;52
2347;Refuge Aosta;refuge gardé;2788;45.96951;7.56143;;30
6905;Rifugio Bonatti;refuge gardé;2025;45.84698;7.03339;;75
6913;Rifugio Città di Vigevano;refuge gardé;2864;45.87085;7.87361;Fermé;
1490;Refuge Quintino Sella (Mont Rose);refuge gardé;3585;45.90111;7.7929;;140
4140;Al Legn;refuge gardé;1814;46.12232;8.66712;;12
4310;Bovarina;refuge gardé;1870;46.56013;8.88864;;42
4785;Scaletta;refuge gardé;2205;46.60763;8.94057;;40
4788;Capanna Cadagno;refuge gardé;1987;46.54655;8.71967;;76
4823;Capanna Leit;refuge gardé;2257;46.46692;8.71877;;67
3975;Adula CAS;refuge gardé;2012;46.49909;8.99579;;34
3476;Piansecco;refuge gardé;1988;46.49431;8.47152;Fermé;54
3976;Adula UTOE;refuge gardé;2393;46.49531;9.00771;;58
2055;Refuge Corno Gries;refuge gardé;2338;46.46715;8.41009;;50
3510;Cristallina;refuge gardé;2575;46.47184;8.5264;;120
6391;Alzasca CAS;refuge gardé;1734;46.27129415087;8.58929118660753;;22
4784;Dötra;refuge gardé;1748;46.53154;8.87959;;54
2871;Zoissova koca na Kokrskem sedlu;refuge gardé;1793;46.34418;14.54689;;0
2872;Dom Pri Krn Jezero;refuge gardé;1450;46.28893;13.69656;;170
6379;Albigna;refuge gardé;2336;46.3300716839536;9.65531222475987;;85
4141;Rifugio Malghera;refuge gardé;1937;46.3434;10.1392;;90
2991;Grubenberghütte;refuge gardé;1840;46.54928;7.25193;;32
3759;Refuge de Mayen;refuge gardé;1842;46.36634;7.01446;;40
4376;Refuge Willy Jervis;refuge gardé;1732;44.77337;7.03933;;50
2021;Refuge Gagliardone;refuge gardé;2630;44.67018;7.06699;Fermé;0
4059;"Rifugio ""Severino Bessone"" al Lago Verde";refuge gardé;2583;44.82812;7.02054;;56
2015;Refuge Quintino Sella (Viso);refuge gardé;2640;44.66564;7.10973;;113
2014;Refuge Vallanta (Valante);refuge gardé;2420;44.66569;7.06449;;60
1431;Refuge bivouac Nino Soardi;refuge gardé;2630;44.81794;7.02012;;12
2807;Refuge Giacoletti;refuge gardé;2741;44.69673;7.07595;;60
5552;Rifugio Fontana Mura;refuge gardé;1726;45.018531;7.187;;25
2959;Refuge de Granero;refuge gardé;2377;44.72807;7.04528;;48
4787;Terrihütte;refuge gardé;2170;46.63457;9.00492;;110
3835;Similaun Hütte;refuge gardé;3019;46.77241;10.85461;;70
4937;Martin Busch Hütte (Samoar Hütte);refuge gardé;2501;46.80104;10.88694;;120
5414;Brandenburger Haus;refuge gardé;3277;46.84461;10.7781;;105
5470;Breslauer Hütte;refuge gardé;2844;46.8682;10.8789;;160
2841;Refuge Tuckett et Sella;refuge gardé;2271;46.19196;10.88228;;120
